INFO Training log for Curie-Weiss model
INFO 2025-10-01 08:35:43: Initializing.
INFO gpu_idx:2
INFO seed:42
INFO n_dim:1
INFO L:64
INFO patch_L:32
INFO h:0.1
INFO T:1.1
INFO train_bs:1024
INFO val_bs:1024
INFO num_epoch:100
INFO patience:5
INFO lr:0.01
INFO mode:constant_diagonal
INFO epsilon:0.0001
INFO coeff:None
INFO method:ours
INFO 2025-10-01 08:35:44: Training started.
INFO 2025-10-01 08:35:47: Training epoch 1, training mse:-1.0790338711813092, val mse:0.9683646410703659, lr:0.01
INFO 2025-10-01 08:35:49: Training epoch 2, training mse:-4.9126856473027445, val mse:-4.432669162750244, lr:0.01
INFO 2025-10-01 08:35:51: Training epoch 3, training mse:-5.29337924840499, val mse:-6.169323086738586, lr:0.01
INFO 2025-10-01 08:35:53: Training epoch 4, training mse:-5.293374239181985, val mse:-6.106870532035828, lr:0.01
INFO 2025-10-01 08:35:55: Training epoch 5, training mse:-5.293769510424867, val mse:-6.21173357963562, lr:0.01
INFO 2025-10-01 08:35:57: Training epoch 6, training mse:-5.286149406919674, val mse:-6.254526615142822, lr:0.01
INFO 2025-10-01 08:35:59: Training epoch 7, training mse:-5.291427534453723, val mse:-6.0539315938949585, lr:0.01
INFO 2025-10-01 08:36:01: Training epoch 8, training mse:-5.2977136860088425, val mse:-6.256567597389221, lr:0.01
INFO 2025-10-01 08:36:02: Training epoch 9, training mse:-5.294956764396356, val mse:-6.272958159446716, lr:0.01
INFO 2025-10-01 08:36:04: Training epoch 10, training mse:-5.29695741984309, val mse:-6.222534418106079, lr:0.01
INFO 2025-10-01 08:36:06: Training epoch 11, training mse:-5.29622516340139, val mse:-6.213695049285889, lr:0.01
INFO 2025-10-01 08:36:08: Training epoch 12, training mse:-5.296640308535829, val mse:-6.241254091262817, lr:0.01
INFO 2025-10-01 08:36:10: Training epoch 13, training mse:-5.298680159510399, val mse:-6.215892672538757, lr:0.01
INFO 2025-10-01 08:36:12: Training epoch 14, training mse:-5.29584395398899, val mse:-6.213789582252502, lr:0.01
INFO 2025-10-01 08:36:14: Training epoch 15, training mse:-5.296879418042241, val mse:-6.214703917503357, lr:0.01
INFO 2025-10-01 08:36:15: Training epoch 16, training mse:-5.297513952060622, val mse:-6.226060152053833, lr:0.01
INFO 2025-10-01 08:36:17: Training epoch 17, training mse:-5.295965793181439, val mse:-6.244066834449768, lr:0.01
INFO 2025-10-01 08:36:19: Training epoch 18, training mse:-5.297141853643923, val mse:-6.249592304229736, lr:0.01
INFO 2025-10-01 08:36:21: Training epoch 19, training mse:-5.296863456161654, val mse:-6.165190935134888, lr:0.01
INFO 2025-10-01 08:36:23: Training epoch 20, training mse:-5.301126115176142, val mse:-6.25290310382843, lr:0.005
INFO 2025-10-01 08:36:25: Training epoch 21, training mse:-5.301590688374578, val mse:-6.229816555976868, lr:0.005
INFO 2025-10-01 08:36:27: Training epoch 22, training mse:-5.300681878109367, val mse:-6.2710301876068115, lr:0.005
INFO 2025-10-01 08:36:28: Training epoch 23, training mse:-5.300834860120501, val mse:-6.260769844055176, lr:0.005
INFO 2025-10-01 08:36:30: Training epoch 24, training mse:-5.30177717306176, val mse:-6.254781246185303, lr:0.005
INFO 2025-10-01 08:36:32: Training epoch 25, training mse:-5.302128743152229, val mse:-6.238673210144043, lr:0.005
INFO 2025-10-01 08:36:34: Training epoch 26, training mse:-5.300662911668116, val mse:-6.220517516136169, lr:0.005
INFO 2025-10-01 08:36:37: Training epoch 27, training mse:-5.300783174378531, val mse:-6.24024498462677, lr:0.005
INFO 2025-10-01 08:36:40: Training epoch 28, training mse:-5.301996639796665, val mse:-6.23298442363739, lr:0.005
INFO 2025-10-01 08:36:42: Training epoch 29, training mse:-5.301378668571005, val mse:-6.237263321876526, lr:0.005
INFO 2025-10-01 08:36:45: Training epoch 30, training mse:-5.301080871601494, val mse:-6.22010064125061, lr:0.005
INFO 2025-10-01 08:36:47: Training epoch 31, training mse:-5.301160659108843, val mse:-6.26438844203949, lr:0.005
INFO 2025-10-01 08:36:50: Training epoch 32, training mse:-5.300525643387619, val mse:-6.253266453742981, lr:0.005
INFO 2025-10-01 08:36:52: Training epoch 33, training mse:-5.2992720993197695, val mse:-6.246592164039612, lr:0.005
INFO 2025-10-01 08:36:55: Training epoch 34, training mse:-5.301571468917691, val mse:-6.255154371261597, lr:0.005
INFO 2025-10-01 08:36:57: Training epoch 35, training mse:-5.300373931320346, val mse:-6.247666835784912, lr:0.005
INFO 2025-10-01 08:37:00: Training epoch 36, training mse:-5.301585440732995, val mse:-6.233438849449158, lr:0.005
INFO 2025-10-01 08:37:02: Training epoch 37, training mse:-5.302361283983503, val mse:-6.252851724624634, lr:0.005
INFO 2025-10-01 08:37:05: Training epoch 38, training mse:-5.300550482711014, val mse:-6.234417796134949, lr:0.005
INFO 2025-10-01 08:37:07: Training epoch 39, training mse:-5.301334062401129, val mse:-6.266010522842407, lr:0.005
INFO 2025-10-01 08:37:10: Training epoch 40, training mse:-5.301595123446718, val mse:-6.258869886398315, lr:0.005
INFO 2025-10-01 08:37:12: Training epoch 41, training mse:-5.301562175458791, val mse:-6.2361403703689575, lr:0.005
INFO 2025-10-01 08:37:15: Training epoch 42, training mse:-5.301028346528812, val mse:-6.254714608192444, lr:0.005
INFO 2025-10-01 08:37:17: Training epoch 43, training mse:-5.300307407671092, val mse:-6.228254437446594, lr:0.005
INFO 2025-10-01 08:37:20: Training epoch 44, training mse:-5.303117900478597, val mse:-6.23647153377533, lr:0.0025
INFO 2025-10-01 08:37:22: Training epoch 45, training mse:-5.303246288883443, val mse:-6.2488850355148315, lr:0.0025
INFO 2025-10-01 08:37:25: Training epoch 46, training mse:-5.302540513933922, val mse:-6.252573132514954, lr:0.0025
INFO 2025-10-01 08:37:27: Training epoch 47, training mse:-5.302678816172541, val mse:-6.276463627815247, lr:0.0025
INFO 2025-10-01 08:37:30: Training epoch 48, training mse:-5.303420390401568, val mse:-6.245611548423767, lr:0.0025
INFO 2025-10-01 08:37:32: Training epoch 49, training mse:-5.302600335101692, val mse:-6.251356363296509, lr:0.0025
INFO 2025-10-01 08:37:35: Training epoch 50, training mse:-5.303050654275077, val mse:-6.240547060966492, lr:0.0025
INFO 2025-10-01 08:37:38: Training epoch 51, training mse:-5.303049510839034, val mse:-6.230479001998901, lr:0.0025
INFO 2025-10-01 08:37:40: Training epoch 52, training mse:-5.302806255768757, val mse:-6.249682426452637, lr:0.0025
INFO 2025-10-01 08:37:43: Training epoch 53, training mse:-5.302434634189217, val mse:-6.250087738037109, lr:0.0025
INFO 2025-10-01 08:37:46: Training epoch 54, training mse:-5.302286155369817, val mse:-6.2528380155563354, lr:0.0025
INFO 2025-10-01 08:37:49: Training epoch 55, training mse:-5.302866113429167, val mse:-6.257860422134399, lr:0.0025
INFO 2025-10-01 08:37:51: Training epoch 56, training mse:-5.302130840262588, val mse:-6.262175798416138, lr:0.0025
INFO 2025-10-01 08:37:54: Training epoch 57, training mse:-5.302611231803894, val mse:-6.254577398300171, lr:0.0025
INFO 2025-10-01 08:37:57: Training epoch 58, training mse:-5.302948954154034, val mse:-6.240535855293274, lr:0.0025
INFO 2025-10-01 08:37:59: Training epoch 59, training mse:-5.303677179375473, val mse:-6.251844763755798, lr:0.0025
INFO 2025-10-01 08:38:02: Training epoch 60, training mse:-5.302359887531826, val mse:-6.246522068977356, lr:0.0025
INFO 2025-10-01 08:38:05: Training epoch 61, training mse:-5.302625050350112, val mse:-6.252655625343323, lr:0.0025
INFO 2025-10-01 08:38:08: Training epoch 62, training mse:-5.302872450984254, val mse:-6.26092803478241, lr:0.0025
INFO 2025-10-01 08:38:10: Training epoch 63, training mse:-5.302971893427324, val mse:-6.244493246078491, lr:0.0025
INFO 2025-10-01 08:38:13: Training epoch 64, training mse:-5.30283615540485, val mse:-6.248769521713257, lr:0.0025
INFO 2025-10-01 08:38:16: Training epoch 65, training mse:-5.303322169245506, val mse:-6.253329634666443, lr:0.0025
INFO 2025-10-01 08:38:18: Training epoch 66, training mse:-5.30336231114913, val mse:-6.230831980705261, lr:0.0025
INFO 2025-10-01 08:38:21: Training epoch 67, training mse:-5.303095861357086, val mse:-6.258799195289612, lr:0.0025
INFO 2025-10-01 08:38:24: Training epoch 68, training mse:-5.302410381180899, val mse:-6.249267101287842, lr:0.0025
INFO 2025-10-01 08:38:26: Training epoch 69, training mse:-5.303154964836276, val mse:-6.256302356719971, lr:0.0025
INFO 2025-10-01 08:38:29: Training epoch 70, training mse:-5.302824837820871, val mse:-6.243522047996521, lr:0.0025
INFO 2025-10-01 08:38:32: Training epoch 71, training mse:-5.3015298819055365, val mse:-6.253733992576599, lr:0.0025
INFO 2025-10-01 08:38:35: Training epoch 72, training mse:-5.303066224467997, val mse:-6.258381724357605, lr:0.0025
INFO 2025-10-01 08:38:38: Training epoch 73, training mse:-5.302160700973199, val mse:-6.236109375953674, lr:0.0025
INFO 2025-10-01 08:38:41: Training epoch 74, training mse:-5.303000652060216, val mse:-6.2202078104019165, lr:0.0025
INFO 2025-10-01 08:38:44: Training epoch 75, training mse:-5.302686299596514, val mse:-6.264204263687134, lr:0.0025
INFO 2025-10-01 08:38:47: Training epoch 76, training mse:-5.303244785386688, val mse:-6.2499072551727295, lr:0.0025
INFO 2025-10-01 08:38:50: Training epoch 77, training mse:-5.303143209340621, val mse:-6.252507567405701, lr:0.0025
INFO 2025-10-01 08:38:53: Training epoch 78, training mse:-5.302914203429709, val mse:-6.244860529899597, lr:0.0025
INFO 2025-10-01 08:38:56: Training epoch 79, training mse:-5.302533200808933, val mse:-6.248470902442932, lr:0.0025
INFO 2025-10-01 08:38:59: Training epoch 80, training mse:-5.302708603897873, val mse:-6.248578071594238, lr:0.0025
INFO 2025-10-01 08:39:02: Training epoch 81, training mse:-5.303109546096957, val mse:-6.247121572494507, lr:0.0025
INFO 2025-10-01 08:39:05: Training epoch 82, training mse:-5.302384264615117, val mse:-6.251705884933472, lr:0.0025
INFO 2025-10-01 08:39:08: Training epoch 83, training mse:-5.302913086754935, val mse:-6.235591769218445, lr:0.0025
INFO 2025-10-01 08:39:10: Training epoch 84, training mse:-5.302397611189861, val mse:-6.251608848571777, lr:0.0025
INFO 2025-10-01 08:39:13: Training epoch 85, training mse:-5.302409522387446, val mse:-6.251805663108826, lr:0.0025
INFO 2025-10-01 08:39:16: Training epoch 86, training mse:-5.302861165027229, val mse:-6.253496766090393, lr:0.0025
INFO 2025-10-01 08:39:19: Training epoch 87, training mse:-5.302281601088388, val mse:-6.2409104108810425, lr:0.0025
INFO 2025-10-01 08:39:22: Training epoch 88, training mse:-5.3030184142443595, val mse:-6.238621473312378, lr:0.0025
INFO 2025-10-01 08:39:24: Training epoch 89, training mse:-5.302964254301422, val mse:-6.252909064292908, lr:0.0025
INFO 2025-10-01 08:39:27: Training epoch 90, training mse:-5.302794402959395, val mse:-6.2552653551101685, lr:0.0025
INFO 2025-10-01 08:39:30: Training epoch 91, training mse:-5.302771388267984, val mse:-6.265331864356995, lr:0.0025
INFO 2025-10-01 08:39:33: Training epoch 92, training mse:-5.3026180413304544, val mse:-6.224436640739441, lr:0.0025
INFO 2025-10-01 08:39:35: Training epoch 93, training mse:-5.302438225064959, val mse:-6.248879671096802, lr:0.0025
INFO 2025-10-01 08:39:38: Training epoch 94, training mse:-5.30291224499138, val mse:-6.261513710021973, lr:0.0025
INFO 2025-10-01 08:39:41: Training epoch 95, training mse:-5.302972372697324, val mse:-6.244871497154236, lr:0.0025
INFO 2025-10-01 08:39:44: Training epoch 96, training mse:-5.30222377971727, val mse:-6.251932263374329, lr:0.0025
INFO 2025-10-01 08:39:47: Training epoch 97, training mse:-5.302427656796514, val mse:-6.255390286445618, lr:0.0025
INFO 2025-10-01 08:39:49: Training epoch 98, training mse:-5.302793943152135, val mse:-6.245797395706177, lr:0.0025
INFO 2025-10-01 08:39:52: Training epoch 99, training mse:-5.302204728126526, val mse:-6.258981227874756, lr:0.0025
INFO 2025-10-01 08:39:55: Training epoch 100, training mse:-5.302844843085931, val mse:-6.258842825889587, lr:0.0025
