INFO Training log for Curie-Weiss model
INFO 2025-09-30 22:49:13: Initializing.
INFO gpu_idx:2
INFO seed:42
INFO n_dim:1
INFO L:64
INFO patch_L:8
INFO h:0.1
INFO T:1.1
INFO train_bs:1024
INFO val_bs:1024
INFO num_epoch:100
INFO patience:5
INFO lr:0.01
INFO mode:constant_diagonal
INFO epsilon:0.0001
INFO coeff:None
INFO method:naive
INFO 2025-09-30 22:49:14: Training started.
INFO 2025-09-30 22:49:16: Training epoch 1, training mse:-2.1304677888936343, val mse:0.9683646410703659, lr:0.01
INFO 2025-09-30 22:49:18: Training epoch 2, training mse:-3.307357138516952, val mse:-4.202878952026367, lr:0.01
INFO 2025-09-30 22:49:19: Training epoch 3, training mse:-3.3068385209356035, val mse:-4.234089255332947, lr:0.01
INFO 2025-09-30 22:49:21: Training epoch 4, training mse:-3.309871634658502, val mse:-4.235143065452576, lr:0.01
INFO 2025-09-30 22:49:23: Training epoch 5, training mse:-3.309632174822749, val mse:-4.238185882568359, lr:0.01
INFO 2025-09-30 22:49:25: Training epoch 6, training mse:-3.3076570958507303, val mse:-4.334293842315674, lr:0.01
INFO 2025-09-30 22:49:27: Training epoch 7, training mse:-3.308266890292265, val mse:-4.298632025718689, lr:0.01
INFO 2025-09-30 22:49:29: Training epoch 8, training mse:-3.307448625564575, val mse:-4.1317442655563354, lr:0.01
INFO 2025-09-30 22:49:30: Training epoch 9, training mse:-3.3094897902741724, val mse:-4.165586471557617, lr:0.01
INFO 2025-09-30 22:49:32: Training epoch 10, training mse:-3.308274333574334, val mse:-4.333873271942139, lr:0.01
INFO 2025-09-30 22:49:34: Training epoch 11, training mse:-3.30943171588742, val mse:-4.180137395858765, lr:0.01
INFO 2025-09-30 22:49:36: Training epoch 12, training mse:-3.3094790322440013, val mse:-4.319320440292358, lr:0.01
INFO 2025-09-30 22:49:38: Training epoch 13, training mse:-3.309909299928315, val mse:-4.2221643924713135, lr:0.01
INFO 2025-09-30 22:49:40: Training epoch 14, training mse:-3.3078514763287137, val mse:-4.191290616989136, lr:0.01
INFO 2025-09-30 22:49:42: Training epoch 15, training mse:-3.3092062169191787, val mse:-4.258034348487854, lr:0.01
INFO 2025-09-30 22:49:44: Training epoch 16, training mse:-3.308660642224915, val mse:-4.171161532402039, lr:0.01
INFO 2025-09-30 22:49:45: Training epoch 17, training mse:-3.30905197834482, val mse:-4.211915493011475, lr:0.01
INFO 2025-09-30 22:49:47: Training epoch 18, training mse:-3.3099565919564693, val mse:-4.206470608711243, lr:0.01
INFO 2025-09-30 22:49:49: Training epoch 19, training mse:-3.308689830254535, val mse:-4.316319465637207, lr:0.01
INFO 2025-09-30 22:49:51: Training epoch 20, training mse:-3.3078059237830493, val mse:-4.231141686439514, lr:0.01
INFO 2025-09-30 22:49:53: Training epoch 21, training mse:-3.308364053161777, val mse:-4.400611400604248, lr:0.01
INFO 2025-09-30 22:49:55: Training epoch 22, training mse:-3.307888830194668, val mse:-4.1996647119522095, lr:0.01
INFO 2025-09-30 22:49:57: Training epoch 23, training mse:-3.309738969316288, val mse:-4.218572616577148, lr:0.01
INFO 2025-09-30 22:49:58: Training epoch 24, training mse:-3.309989786877924, val mse:-4.332927703857422, lr:0.01
INFO 2025-09-30 22:50:00: Training epoch 25, training mse:-3.3083025411683686, val mse:-4.177635908126831, lr:0.01
INFO 2025-09-30 22:50:02: Training epoch 26, training mse:-3.309574045697037, val mse:-4.254843473434448, lr:0.01
INFO 2025-09-30 22:50:04: Training epoch 27, training mse:-3.3078009267242585, val mse:-4.266686916351318, lr:0.01
INFO 2025-09-30 22:50:06: Training epoch 28, training mse:-3.3089392623122857, val mse:-4.186848282814026, lr:0.01
INFO 2025-09-30 22:50:08: Training epoch 29, training mse:-3.3076119994630617, val mse:-4.1895774602890015, lr:0.01
INFO 2025-09-30 22:50:10: Training epoch 30, training mse:-3.306345067462143, val mse:-4.297756195068359, lr:0.01
INFO 2025-09-30 22:50:12: Training epoch 31, training mse:-3.3114028049975026, val mse:-4.218893051147461, lr:0.005
INFO 2025-09-30 22:50:14: Training epoch 32, training mse:-3.3119055872060814, val mse:-4.282820224761963, lr:0.005
INFO 2025-09-30 22:50:16: Training epoch 33, training mse:-3.312294145019687, val mse:-4.256381273269653, lr:0.005
INFO 2025-09-30 22:50:17: Training epoch 34, training mse:-3.31181206873485, val mse:-4.283411979675293, lr:0.005
INFO 2025-09-30 22:50:19: Training epoch 35, training mse:-3.312601864337921, val mse:-4.2059407234191895, lr:0.005
INFO 2025-09-30 22:50:21: Training epoch 36, training mse:-3.312800867216928, val mse:-4.200583338737488, lr:0.005
INFO 2025-09-30 22:50:23: Training epoch 37, training mse:-3.311533302676921, val mse:-4.199018120765686, lr:0.005
INFO 2025-09-30 22:50:25: Training epoch 38, training mse:-3.3109925924515236, val mse:-4.2099140882492065, lr:0.005
INFO 2025-09-30 22:50:27: Training epoch 39, training mse:-3.3114110912595476, val mse:-4.22770369052887, lr:0.005
INFO 2025-09-30 22:50:29: Training epoch 40, training mse:-3.31211149327609, val mse:-4.244509339332581, lr:0.005
INFO 2025-09-30 22:50:31: Training epoch 41, training mse:-3.3117134145327976, val mse:-4.223477363586426, lr:0.005
INFO 2025-09-30 22:50:32: Training epoch 42, training mse:-3.3127552538501974, val mse:-4.263467073440552, lr:0.005
INFO 2025-09-30 22:50:34: Training epoch 43, training mse:-3.311248634542738, val mse:-4.232092022895813, lr:0.005
INFO 2025-09-30 22:50:36: Training epoch 44, training mse:-3.3128049543925693, val mse:-4.245372414588928, lr:0.005
INFO 2025-09-30 22:50:38: Training epoch 45, training mse:-3.311492564726849, val mse:-4.229570627212524, lr:0.005
INFO 2025-09-30 22:50:40: Training epoch 46, training mse:-3.3117127114412734, val mse:-4.210456490516663, lr:0.005
INFO 2025-09-30 22:50:42: Training epoch 47, training mse:-3.3125636735740973, val mse:-4.229268193244934, lr:0.005
INFO 2025-09-30 22:50:44: Training epoch 48, training mse:-3.312890324057365, val mse:-4.285394191741943, lr:0.005
INFO 2025-09-30 22:50:46: Training epoch 49, training mse:-3.311446159469838, val mse:-4.268077373504639, lr:0.005
INFO 2025-09-30 22:50:47: Training epoch 50, training mse:-3.3118670935533485, val mse:-4.242125988006592, lr:0.005
INFO 2025-09-30 22:50:49: Training epoch 51, training mse:-3.311471616735264, val mse:-4.271573424339294, lr:0.005
INFO 2025-09-30 22:50:51: Training epoch 52, training mse:-3.3116533038567524, val mse:-4.221090197563171, lr:0.005
INFO 2025-09-30 22:50:53: Training epoch 53, training mse:-3.312554116151771, val mse:-4.273327112197876, lr:0.005
INFO 2025-09-30 22:50:55: Training epoch 54, training mse:-3.3120006809429245, val mse:-4.283880710601807, lr:0.005
INFO 2025-09-30 22:50:57: Training epoch 55, training mse:-3.313971923322094, val mse:-4.263887047767639, lr:0.0025
INFO 2025-09-30 22:50:59: Training epoch 56, training mse:-3.3135784317036063, val mse:-4.2341402769088745, lr:0.0025
INFO 2025-09-30 22:51:01: Training epoch 57, training mse:-3.3137885465913888, val mse:-4.231057047843933, lr:0.0025
INFO 2025-09-30 22:51:02: Training epoch 58, training mse:-3.3132508506580276, val mse:-4.2323243618011475, lr:0.0025
INFO 2025-09-30 22:51:04: Training epoch 59, training mse:-3.313454421199098, val mse:-4.220127701759338, lr:0.0025
INFO 2025-09-30 22:51:06: Training epoch 60, training mse:-3.3142725448219146, val mse:-4.232103586196899, lr:0.0025
INFO 2025-09-30 22:51:08: Training epoch 61, training mse:-3.313053446156638, val mse:-4.257927656173706, lr:0.0025
INFO 2025-09-30 22:51:10: Training epoch 62, training mse:-3.3140751062607277, val mse:-4.2447651624679565, lr:0.0025
INFO 2025-09-30 22:51:12: Training epoch 63, training mse:-3.313352398726405, val mse:-4.291775226593018, lr:0.0025
INFO 2025-09-30 22:51:14: Training epoch 64, training mse:-3.3140009884931603, val mse:-4.227875590324402, lr:0.0025
INFO 2025-09-30 22:51:16: Training epoch 65, training mse:-3.3138076845480473, val mse:-4.237527370452881, lr:0.0025
INFO 2025-09-30 22:51:18: Training epoch 66, training mse:-3.313505858791118, val mse:-4.219609618186951, lr:0.0025
INFO 2025-09-30 22:51:19: Training epoch 67, training mse:-3.313397012194809, val mse:-4.249376893043518, lr:0.0025
INFO 2025-09-30 22:51:21: Training epoch 68, training mse:-3.3128095342188466, val mse:-4.21996545791626, lr:0.0025
INFO 2025-09-30 22:51:23: Training epoch 69, training mse:-3.3134343344338086, val mse:-4.180792450904846, lr:0.0025
INFO 2025-09-30 22:51:25: Training epoch 70, training mse:-3.3141393369557908, val mse:-4.279713034629822, lr:0.0025
INFO 2025-09-30 22:51:27: Training epoch 71, training mse:-3.3131427570265166, val mse:-4.2503485679626465, lr:0.0025
INFO 2025-09-30 22:51:29: Training epoch 72, training mse:-3.3137063323235023, val mse:-4.227796196937561, lr:0.0025
INFO 2025-09-30 22:51:30: Training epoch 73, training mse:-3.313925712692494, val mse:-4.24577009677887, lr:0.0025
INFO 2025-09-30 22:51:32: Training epoch 74, training mse:-3.3141317793301175, val mse:-4.271403193473816, lr:0.0025
INFO 2025-09-30 22:51:34: Training epoch 75, training mse:-3.313743354106436, val mse:-4.248092889785767, lr:0.0025
INFO 2025-09-30 22:51:36: Training epoch 76, training mse:-3.3137804014342174, val mse:-4.190648794174194, lr:0.0025
INFO 2025-09-30 22:51:38: Training epoch 77, training mse:-3.31300557146267, val mse:-4.223534941673279, lr:0.0025
INFO 2025-09-30 22:51:40: Training epoch 78, training mse:-3.313968538021555, val mse:-4.227388501167297, lr:0.0025
