INFO Training log for Curie-Weiss model
INFO 2025-09-30 22:55:43: Initializing.
INFO gpu_idx:2
INFO seed:42
INFO n_dim:1
INFO L:64
INFO patch_L:32
INFO h:0.1
INFO T:1.1
INFO train_bs:1024
INFO val_bs:1024
INFO num_epoch:100
INFO patience:5
INFO lr:0.01
INFO mode:constant_diagonal
INFO epsilon:0.0001
INFO coeff:None
INFO method:naive
INFO 2025-09-30 22:55:43: Training started.
INFO 2025-09-30 22:57:23: Training epoch 51, training mse:-5.92344318847267, val mse:-6.240263223648071, lr:0.00125
INFO 2025-09-30 22:57:26: Training epoch 52, training mse:-5.923231772014073, val mse:-6.232957243919373, lr:0.00125
INFO 2025-09-30 22:57:27: Training epoch 53, training mse:-5.922945820555395, val mse:-6.217257618904114, lr:0.00125
INFO 2025-09-30 22:57:29: Training epoch 54, training mse:-5.922514341315445, val mse:-6.204474091529846, lr:0.00125
INFO 2025-09-30 22:57:31: Training epoch 55, training mse:-5.92322991088945, val mse:-6.214085340499878, lr:0.00125
INFO 2025-09-30 22:57:33: Training epoch 56, training mse:-5.923254059285534, val mse:-6.2413798570632935, lr:0.00125
INFO 2025-09-30 22:57:35: Training epoch 57, training mse:-5.922831666712859, val mse:-6.236860871315002, lr:0.00125
INFO 2025-09-30 22:57:37: Training epoch 58, training mse:-5.923305178175167, val mse:-6.21451210975647, lr:0.00125
INFO 2025-09-30 22:57:39: Training epoch 59, training mse:-5.9232637298350435, val mse:-6.222318768501282, lr:0.00125
INFO 2025-09-30 22:57:41: Training epoch 60, training mse:-5.92353452468405, val mse:-6.238181948661804, lr:0.00125
INFO 2025-09-30 22:57:43: Training epoch 61, training mse:-5.923281187913855, val mse:-6.223281145095825, lr:0.00125
INFO 2025-09-30 22:57:45: Training epoch 62, training mse:-5.923219639427808, val mse:-6.226693630218506, lr:0.00125
INFO 2025-09-30 22:57:47: Training epoch 63, training mse:-5.922673293522426, val mse:-6.2357693910598755, lr:0.00125
INFO 2025-09-30 22:57:49: Training epoch 64, training mse:-5.923379136591541, val mse:-6.241896152496338, lr:0.00125
INFO 2025-09-30 22:57:51: Training epoch 65, training mse:-5.923089302316004, val mse:-6.231995224952698, lr:0.00125
INFO 2025-09-30 22:57:53: Training epoch 66, training mse:-5.923973803617517, val mse:-6.219354748725891, lr:0.00125
INFO 2025-09-30 22:57:55: Training epoch 67, training mse:-5.923304983547756, val mse:-6.221057653427124, lr:0.00125
INFO 2025-09-30 22:57:56: Training epoch 68, training mse:-5.922906683415783, val mse:-6.21253502368927, lr:0.00125
INFO 2025-09-30 22:57:58: Training epoch 69, training mse:-5.92292900474704, val mse:-6.221769690513611, lr:0.00125
INFO 2025-09-30 22:58:00: Training epoch 70, training mse:-5.923217094674403, val mse:-6.2421547174453735, lr:0.00125
INFO 2025-09-30 22:58:02: Training epoch 71, training mse:-5.921255053306113, val mse:-6.214767932891846, lr:0.00125
INFO 2025-09-30 22:58:04: Training epoch 72, training mse:-5.922467616139626, val mse:-6.230055570602417, lr:0.00125
INFO 2025-09-30 22:58:06: Training epoch 73, training mse:-5.923408503435096, val mse:-6.21072256565094, lr:0.000625
INFO 2025-09-30 22:58:08: Training epoch 74, training mse:-5.92421247277941, val mse:-6.226928949356079, lr:0.000625
INFO 2025-09-30 22:58:10: Training epoch 75, training mse:-5.92418757263495, val mse:-6.215452313423157, lr:0.000625
INFO 2025-09-30 22:58:12: Training epoch 76, training mse:-5.923532911709377, val mse:-6.221748471260071, lr:0.000625
INFO 2025-09-30 22:58:14: Training epoch 77, training mse:-5.923774062370767, val mse:-6.233592391014099, lr:0.000625
INFO 2025-09-30 22:58:16: Training epoch 78, training mse:-5.923895813980881, val mse:-6.222073674201965, lr:0.000625
INFO 2025-09-30 22:58:18: Training epoch 79, training mse:-5.923751840786058, val mse:-6.220489859580994, lr:0.000625
INFO 2025-09-30 22:58:20: Training epoch 80, training mse:-5.923855423927307, val mse:-6.225560307502747, lr:0.000625
INFO 2025-09-30 22:58:22: Training epoch 81, training mse:-5.92410299972612, val mse:-6.228301525115967, lr:0.000625
INFO 2025-09-30 22:58:24: Training epoch 82, training mse:-5.923471737881096, val mse:-6.225632548332214, lr:0.000625
INFO 2025-09-30 22:58:26: Training epoch 83, training mse:-5.924340311361819, val mse:-6.2274733781814575, lr:0.000625
INFO 2025-09-30 22:58:28: Training epoch 84, training mse:-5.924137458509328, val mse:-6.218207836151123, lr:0.000625
INFO 2025-09-30 22:58:30: Training epoch 85, training mse:-5.923587808803636, val mse:-6.224172949790955, lr:0.000625
INFO 2025-09-30 22:58:32: Training epoch 86, training mse:-5.923897694568245, val mse:-6.218023061752319, lr:0.000625
INFO 2025-09-30 22:58:34: Training epoch 87, training mse:-5.924012369039107, val mse:-6.226977229118347, lr:0.000625
INFO 2025-09-30 22:58:35: Training epoch 88, training mse:-5.924563639018, val mse:-6.218783497810364, lr:0.000625
INFO 2025-09-30 22:58:37: Training epoch 89, training mse:-5.923995910858621, val mse:-6.206275939941406, lr:0.000625
INFO 2025-09-30 22:58:39: Training epoch 90, training mse:-5.924345593063199, val mse:-6.221549868583679, lr:0.000625
INFO 2025-09-30 22:58:41: Training epoch 91, training mse:-5.9243999743948175, val mse:-6.220863461494446, lr:0.000625
INFO 2025-09-30 22:58:43: Training epoch 92, training mse:-5.923594229075373, val mse:-6.218258023262024, lr:0.000625
INFO 2025-09-30 22:58:45: Training epoch 93, training mse:-5.923831251202797, val mse:-6.220884323120117, lr:0.000625
INFO 2025-09-30 22:58:47: Training epoch 94, training mse:-5.923659412228331, val mse:-6.220024228096008, lr:0.000625
INFO 2025-09-30 22:58:49: Training epoch 95, training mse:-5.924202398378021, val mse:-6.227868318557739, lr:0.000625
INFO 2025-09-30 22:58:51: Training epoch 96, training mse:-5.924065424471485, val mse:-6.232846736907959, lr:0.000625
INFO 2025-09-30 22:58:53: Training epoch 97, training mse:-5.92383370107534, val mse:-6.221863150596619, lr:0.000625
INFO 2025-09-30 22:58:55: Training epoch 98, training mse:-5.92427058122596, val mse:-6.226135849952698, lr:0.000625
INFO 2025-09-30 22:58:57: Training epoch 99, training mse:-5.923243089598053, val mse:-6.216534733772278, lr:0.000625
INFO 2025-09-30 22:58:59: Training epoch 100, training mse:-5.924732833492513, val mse:-6.222198486328125, lr:0.000625
